Date of Data,Code,Company Name,Price Adjustment Factor,Nikkei Industrial Classification,Sector
"2025/04/22","1332","NISSUI CORP.","1.0","Fishery","Consumer Goods"
"2025/04/22","1605","INPEX CORP.","0.4","Mining","Materials"
"2025/04/22","1721","COMSYS HOLDINGS CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1801","TAISEI CORP.","0.2","Construction","Capital Goods/Others"
"2025/04/22","1802","OBAYASHI CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1803","SHIMIZU CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1808","HASEKO CORP.","0.2","Construction","Capital Goods/Others"
"2025/04/22","1812","KAJIMA CORP.","0.5","Construction","Capital Goods/Others"
"2025/04/22","1925","DAIWA HOUSE IND. CO., LTD.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1928","SEKISUI HOUSE, LTD.","1.0","Construction","Capital Goods/Others"
"2025/04/22","1963","JGC HOLDINGS CORP.","1.0","Construction","Capital Goods/Others"
"2025/04/22","2002","NISSHIN SEIFUN GROUP INC.","1.0","Foods","Consumer Goods"
"2025/04/22","2269","MEIJI HOLDINGS CO., LTD.","0.4","Foods","Consumer Goods"
"2025/04/22","2282","NH FOODS LTD.","0.5","Foods","Consumer Goods"
"2025/04/22","2413","M3, INC.","2.4","Services","Consumer Goods"
"2025/04/22","2432","DENA CO., LTD.","0.3","Services","Consumer Goods"
"2025/04/22","2501","SAPPORO HOLDINGS LTD.","0.2","Foods","Consumer Goods"
"2025/04/22","2502","ASAHI GROUP HOLDINGS, LTD.","3.0","Foods","Consumer Goods"
"2025/04/22","2503","KIRIN HOLDINGS CO., LTD.","1.0","Foods","Consumer Goods"
"2025/04/22","2768","SOJITZ CORP.","0.1","Trading Companies","Materials"
"2025/04/22","2801","KIKKOMAN CORP.","5.0","Foods","Consumer Goods"
"2025/04/22","2802","AJINOMOTO CO., INC.","2.0","Foods","Consumer Goods"
"2025/04/22","2871","NICHIREI CORP.","1.0","Foods","Consumer Goods"
"2025/04/22","2914","JAPAN TOBACCO INC.","1.0","Foods","Consumer Goods"
"2025/04/22","3086","J.FRONT RETAILING CO., LTD.","0.5","Retail","Consumer Goods"
"2025/04/22","3092","ZOZO, INC.","3.0","Retail","Consumer Goods"
"2025/04/22","3099","ISETAN MITSUKOSHI HOLDINGS LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","3289","TOKYU FUDOSAN HOLDINGS CORP.","1.0","Real Estate","Capital Goods/Others"
"2025/04/22","3382","SEVEN & I HOLDINGS CO., LTD.","3.0","Retail","Consumer Goods"
"2025/04/22","3401","TEIJIN LTD.","0.2","Textiles & Apparel","Materials"
"2025/04/22","3402","TORAY INDUSTRIES, INC.","1.0","Textiles & Apparel","Materials"
"2025/04/22","3405","KURARAY CO., LTD.","1.0","Chemicals","Materials"
"2025/04/22","3407","ASAHI KASEI CORP.","1.0","Chemicals","Materials"
"2025/04/22","3436","SUMCO CORP.","0.1","Nonferrous Metals","Materials"
"2025/04/22","3659","NEXON CO., LTD.","2.0","Services","Consumer Goods"
"2025/04/22","3861","OJI HOLDINGS CORP.","1.0","Pulp & Paper","Materials"
"2025/04/22","4004","RESONAC HOLDINGS CORP.","0.1","Chemicals","Materials"
"2025/04/22","4005","SUMITOMO CHEMICAL CO., LTD.","1.0","Chemicals","Materials"
"2025/04/22","4021","NISSAN CHEMICAL CORP.","1.0","Chemicals","Materials"
"2025/04/22","4042","TOSOH CORP.","0.5","Chemicals","Materials"
"2025/04/22","4043","TOKUYAMA CORP.","0.2","Chemicals","Materials"
"2025/04/22","4061","DENKA CO., LTD.","0.2","Chemicals","Materials"
"2025/04/22","4063","SHIN-ETSU CHEMICAL CO., LTD.","5.0","Chemicals","Materials"
"2025/04/22","4151","KYOWA KIRIN CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4183","MITSUI CHEMICALS, INC.","0.2","Chemicals","Materials"
"2025/04/22","4188","MITSUBISHI CHEMICAL GROUP CORP.","0.5","Chemicals","Materials"
"2025/04/22","4208","UBE CORP.","0.1","Chemicals","Materials"
"2025/04/22","4307","NOMURA RESEARCH INSTITUTE, LTD.","1.0","Services","Consumer Goods"
"2025/04/22","4324","DENTSU GROUP INC.","1.0","Services","Consumer Goods"
"2025/04/22","4385","MERCARI, INC.","1.0","Services","Consumer Goods"
"2025/04/22","4452","KAO CORP.","1.0","Chemicals","Materials"
"2025/04/22","4502","TAKEDA PHARMACEUTICAL CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4503","ASTELLAS PHARMA INC.","5.0","Pharmaceuticals","Technology"
"2025/04/22","4506","SUMITOMO PHARMA CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4507","SHIONOGI & CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4519","CHUGAI PHARMACEUTICAL CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4523","EISAI CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4543","TERUMO CORP.","8.0","Precision Instruments","Technology"
"2025/04/22","4568","DAIICHI SANKYO CO., LTD.","3.0","Pharmaceuticals","Technology"
"2025/04/22","4578","OTSUKA HOLDINGS CO., LTD.","1.0","Pharmaceuticals","Technology"
"2025/04/22","4661","ORIENTAL LAND CO., LTD.","1.0","Services","Consumer Goods"
"2025/04/22","4689","LY CORP.","0.4","Services","Consumer Goods"
"2025/04/22","4704","TREND MICRO INC.","1.0","Services","Consumer Goods"
"2025/04/22","4751","CYBERAGENT, INC.","0.8","Services","Consumer Goods"
"2025/04/22","4755","RAKUTEN GROUP, INC.","1.0","Services","Consumer Goods"
"2025/04/22","4901","FUJIFILM HOLDINGS CORP.","3.0","Chemicals","Materials"
"2025/04/22","4902","KONICA MINOLTA, INC.","1.0","Precision Instruments","Technology"
"2025/04/22","4911","SHISEIDO CO., LTD.","1.0","Chemicals","Materials"
"2025/04/22","5019","IDEMITSU KOSAN CO., LTD.","2.0","Petroleum","Materials"
"2025/04/22","5020","ENEOS HOLDINGS, INC.","1.0","Petroleum","Materials"
"2025/04/22","5101","THE YOKOHAMA RUBBER CO., LTD.","0.5","Rubber","Materials"
"2025/04/22","5108","BRIDGESTONE CORP.","1.0","Rubber","Materials"
"2025/04/22","5201","AGC INC.","0.2","Glass & Ceramics","Materials"
"2025/04/22","5214","NIPPON ELECTRIC GLASS CO., LTD.","0.3","Glass & Ceramics","Materials"
"2025/04/22","5233","TAIHEIYO CEMENT CORP.","0.1","Glass & Ceramics","Materials"
"2025/04/22","5301","TOKAI CARBON CO., LTD.","1.0","Glass & Ceramics","Materials"
"2025/04/22","5332","TOTO LTD.","0.5","Glass & Ceramics","Materials"
"2025/04/22","5333","NGK INSULATORS, LTD.","1.0","Glass & Ceramics","Materials"
"2025/04/22","5401","NIPPON STEEL CORP.","0.1","Steel","Materials"
"2025/04/22","5406","KOBE STEEL, LTD.","0.1","Steel","Materials"
"2025/04/22","5411","JFE HOLDINGS, INC.","0.1","Steel","Materials"
"2025/04/22","5631","THE JAPAN STEEL WORKS, LTD.","0.2","Machinery","Capital Goods/Others"
"2025/04/22","5706","MITSUI MINING & SMELTING CO.","0.1","Nonferrous Metals","Materials"
"2025/04/22","5711","MITSUBISHI MATERIALS CORP.","0.1","Nonferrous Metals","Materials"
"2025/04/22","5713","SUMITOMO METAL MINING CO., LTD.","0.5","Nonferrous Metals","Materials"
"2025/04/22","5714","DOWA HOLDINGS CO., LTD.","0.2","Nonferrous Metals","Materials"
"2025/04/22","5801","FURUKAWA ELECTRIC CO., LTD.","0.1","Nonferrous Metals","Materials"
"2025/04/22","5802","SUMITOMO ELECTRIC IND., LTD.","1.0","Nonferrous Metals","Materials"
"2025/04/22","5803","FUJIKURA LTD.","1.0","Nonferrous Metals","Materials"
"2025/04/22","5831","SHIZUOKA FINANCIAL GROUP, INC.","1.0","Banking","Financials"
"2025/04/22","6098","RECRUIT HOLDINGS CO., LTD.","3.0","Services","Consumer Goods"
"2025/04/22","6103","OKUMA CORP.","0.4","Machinery","Capital Goods/Others"
"2025/04/22","6113","AMADA CO., LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6146","DISCO CORP.","0.2","Precision Instruments","Technology"
"2025/04/22","6178","JAPAN POST HOLDINGS CO., LTD.","1.0","Services","Consumer Goods"
"2025/04/22","6273","SMC CORP.","0.1","Machinery","Capital Goods/Others"
"2025/04/22","6301","KOMATSU LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6302","SUMITOMO HEAVY IND., LTD.","0.2","Machinery","Capital Goods/Others"
"2025/04/22","6305","HITACHI CONST. MACH. CO., LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6326","KUBOTA CORP.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6361","EBARA CORP.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6367","DAIKIN INDUSTRIES, LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6471","NSK LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6472","NTN CORP.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6473","JTEKT CORP.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","6479","MINEBEA MITSUMI INC.","1.0","Electric Machinery","Technology"
"2025/04/22","6501","HITACHI, LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","6503","MITSUBISHI ELECTRIC CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6504","FUJI ELECTRIC CO., LTD.","0.2","Electric Machinery","Technology"
"2025/04/22","6506","YASKAWA ELECTRIC CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6526","SOCIONEXT INC.","1.0","Electric Machinery","Technology"
"2025/04/22","6532","BAYCURRENT, INC.","0.5","Services","Consumer Goods"
"2025/04/22","6594","NIDEC CORP.","1.6","Electric Machinery","Technology"
"2025/04/22","6645","OMRON CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6674","GS YUASA CORP.","0.2","Electric Machinery","Technology"
"2025/04/22","6701","NEC CORP.","0.5","Electric Machinery","Technology"
"2025/04/22","6702","FUJITSU LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","6723","RENESAS ELECTRONICS CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6724","SEIKO EPSON CORP.","2.0","Electric Machinery","Technology"
"2025/04/22","6752","PANASONIC HOLDINGS CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6753","SHARP CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6758","SONY GROUP CORP.","5.0","Electric Machinery","Technology"
"2025/04/22","6762","TDK CORP.","15.0","Electric Machinery","Technology"
"2025/04/22","6770","ALPS ALPINE CO., LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","6841","YOKOGAWA ELECTRIC CORP.","1.0","Electric Machinery","Technology"
"2025/04/22","6857","ADVANTEST CORP.","8.0","Electric Machinery","Technology"
"2025/04/22","6861","KEYENCE CORP.","0.1","Electric Machinery","Technology"
"2025/04/22","6902","DENSO CORP.","4.0","Electric Machinery","Technology"
"2025/04/22","6920","LASERTEC CORP.","0.4","Electric Machinery","Technology"
"2025/04/22","6952","CASIO COMPUTER CO., LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","6954","FANUC CORP.","5.0","Electric Machinery","Technology"
"2025/04/22","6971","KYOCERA CORP.","8.0","Electric Machinery","Technology"
"2025/04/22","6976","TAIYO YUDEN CO., LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","6981","MURATA MANUFACTURING CO., LTD.","2.4","Electric Machinery","Technology"
"2025/04/22","6988","NITTO DENKO CORP.","5.0","Chemicals","Materials"
"2025/04/22","7004","KANADEVIA CORP.","0.2","Machinery","Capital Goods/Others"
"2025/04/22","7011","MITSUBISHI HEAVY IND., LTD.","1.0","Machinery","Capital Goods/Others"
"2025/04/22","7012","KAWASAKI HEAVY IND., LTD.","0.1","Shipbuilding","Capital Goods/Others"
"2025/04/22","7013","IHI CORP.","0.1","Machinery","Capital Goods/Others"
"2025/04/22","7186","CONCORDIA FINANCIAL GROUP, LTD.","1.0","Banking","Financials"
"2025/04/22","7201","NISSAN MOTOR CO., LTD.","1.0","Automobiles & Auto parts","Technology"
"2025/04/22","7202","ISUZU MOTORS LTD.","0.5","Automobiles & Auto parts","Technology"
"2025/04/22","7203","TOYOTA MOTOR CORP.","5.0","Automobiles & Auto parts","Technology"
"2025/04/22","7205","HINO MOTORS, LTD.","1.0","Automobiles & Auto parts","Technology"
"2025/04/22","7211","MITSUBISHI MOTORS CORP.","0.1","Automobiles & Auto parts","Technology"
"2025/04/22","7261","MAZDA MOTOR CORP.","0.2","Automobiles & Auto parts","Technology"
"2025/04/22","7267","HONDA MOTOR CO., LTD.","6.0","Automobiles & Auto parts","Technology"
"2025/04/22","7269","SUZUKI MOTOR CORP.","4.0","Automobiles & Auto parts","Technology"
"2025/04/22","7270","SUBARU CORP.","1.0","Automobiles & Auto parts","Technology"
"2025/04/22","7272","YAMAHA MOTOR CO., LTD.","3.0","Automobiles & Auto parts","Technology"
"2025/04/22","7453","RYOHIN KEIKAKU CO., LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","7731","NIKON CORP.","1.0","Precision Instruments","Technology"
"2025/04/22","7733","OLYMPUS CORP.","4.0","Precision Instruments","Technology"
"2025/04/22","7735","SCREEN HOLDINGS CO., LTD.","0.4","Electric Machinery","Technology"
"2025/04/22","7741","HOYA CORP.","0.5","Precision Instruments","Technology"
"2025/04/22","7751","CANON INC.","1.5","Electric Machinery","Technology"
"2025/04/22","7752","RICOH CO., LTD.","1.0","Electric Machinery","Technology"
"2025/04/22","7762","CITIZEN WATCH CO., LTD.","1.0","Precision Instruments","Technology"
"2025/04/22","7832","BANDAI NAMCO HOLDINGS INC.","3.0","Other Manufacturing","Capital Goods/Others"
"2025/04/22","7911","TOPPAN HOLDINGS INC.","0.5","Other Manufacturing","Capital Goods/Others"
"2025/04/22","7912","DAI NIPPON PRINTING CO., LTD.","1.0","Other Manufacturing","Capital Goods/Others"
"2025/04/22","7951","YAMAHA CORP.","3.0","Other Manufacturing","Capital Goods/Others"
"2025/04/22","7974","NINTENDO CO., LTD.","1.0","Services","Consumer Goods"
"2025/04/22","8001","ITOCHU CORP.","1.0","Trading Companies","Materials"
"2025/04/22","8002","MARUBENI CORP.","1.0","Trading Companies","Materials"
"2025/04/22","8015","TOYOTA TSUSHO CORP.","3.0","Trading Companies","Materials"
"2025/04/22","8031","MITSUI & CO., LTD.","2.0","Trading Companies","Materials"
"2025/04/22","8035","TOKYO ELECTRON LTD.","3.0","Electric Machinery","Technology"
"2025/04/22","8053","SUMITOMO CORP.","1.0","Trading Companies","Materials"
"2025/04/22","8058","MITSUBISHI CORP.","3.0","Trading Companies","Materials"
"2025/04/22","8233","TAKASHIMAYA CO., LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","8252","MARUI GROUP CO., LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","8253","CREDIT SAISON CO., LTD.","1.0","Other Financial Services","Financials"
"2025/04/22","8267","AEON CO., LTD.","1.0","Retail","Consumer Goods"
"2025/04/22","8304","AOZORA BANK, LTD.","0.1","Banking","Financials"
"2025/04/22","8306","MITSUBISHI UFJ FINANCIAL GROUP, INC.","1.0","Banking","Financials"
"2025/04/22","8308","RESONA HOLDINGS, INC.","0.1","Banking","Financials"
"2025/04/22","8309","SUMITOMO MITSUI TRUST GROUP, INC.","0.2","Banking","Financials"
"2025/04/22","8316","SUMITOMO MITSUI FINANCIAL GROUP, INC.","0.3","Banking","Financials"
"2025/04/22","8331","THE CHIBA BANK, LTD.","1.0","Banking","Financials"
"2025/04/22","8354","FUKUOKA FINANCIAL GROUP, INC.","0.2","Banking","Financials"
"2025/04/22","8411","MIZUHO FINANCIAL GROUP, INC.","0.1","Banking","Financials"
"2025/04/22","8591","ORIX CORP.","1.0","Other Financial Services","Financials"
"2025/04/22","8601","DAIWA SECURITIES GROUP INC.","1.0","Securities","Financials"
"2025/04/22","8604","NOMURA HOLDINGS, INC.","1.0","Securities","Financials"
"2025/04/22","8630","SOMPO HOLDINGS, INC.","0.6","Insurance","Financials"
"2025/04/22","8697","JAPAN EXCHANGE GROUP, INC.","2.0","Other Financial Services","Financials"
"2025/04/22","8725","MS&AD INSURANCE GROUP HOLDINGS, INC.","0.9","Insurance","Financials"
"2025/04/22","8750","DAI-ICHI LIFE HOLDINGS, INC.","0.4","Insurance","Financials"
"2025/04/22","8766","TOKIO MARINE HOLDINGS, INC.","1.5","Insurance","Financials"
"2025/04/22","8795","T&D HOLDINGS, INC.","0.2","Insurance","Financials"
"2025/04/22","8801","MITSUI FUDOSAN CO., LTD.","3.0","Real Estate","Capital Goods/Others"
"2025/04/22","8802","MITSUBISHI ESTATE CO., LTD.","1.0","Real Estate","Capital Goods/Others"
"2025/04/22","8804","TOKYO TATEMONO CO., LTD.","0.5","Real Estate","Capital Goods/Others"
"2025/04/22","8830","SUMITOMO REALTY & DEVELOPMENT CO., LTD.","1.0","Real Estate","Capital Goods/Others"
"2025/04/22","9001","TOBU RAILWAY CO., LTD.","0.2","Railway & Bus","Transportation and Utilities"
"2025/04/22","9005","TOKYU CORP.","0.5","Railway & Bus","Transportation and Utilities"
"2025/04/22","9007","ODAKYU ELECTRIC RAILWAY CO., LTD.","0.5","Railway & Bus","Transportation and Utilities"
"2025/04/22","9008","KEIO CORP.","0.2","Railway & Bus","Transportation and Utilities"
"2025/04/22","9009","KEISEI ELECTRIC RAILWAY CO., LTD.","1.5","Railway & Bus","Transportation and Utilities"
"2025/04/22","9020","EAST JAPAN RAILWAY CO.","0.3","Railway & Bus","Transportation and Utilities"
"2025/04/22","9021","WEST JAPAN RAILWAY CO.","0.2","Railway & Bus","Transportation and Utilities"
"2025/04/22","9022","CENTRAL JAPAN RAILWAY CO., LTD.","0.5","Railway & Bus","Transportation and Utilities"
"2025/04/22","9064","YAMATO HOLDINGS CO., LTD.","1.0","Land Transport","Transportation and Utilities"
"2025/04/22","9101","NIPPON YUSEN K.K.","0.3","Marine Transport","Transportation and Utilities"
"2025/04/22","9104","MITSUI O.S.K.LINES, LTD.","0.3","Marine Transport","Transportation and Utilities"
"2025/04/22","9107","KAWASAKI KISEN KAISHA, LTD.","0.9","Marine Transport","Transportation and Utilities"
"2025/04/22","9147","NIPPON EXPRESS HOLDINGS, INC.","0.3","Land Transport","Transportation and Utilities"
"2025/04/22","9201","JAPAN AIRLINES CO., LTD.","1.0","Air Transport","Transportation and Utilities"
"2025/04/22","9202","ANA HOLDINGS INC.","0.1","Air Transport","Transportation and Utilities"
"2025/04/22","9432","NIPPON TELEGRAPH & TELEPHONE CORP.","10.0","Communications","Technology"
"2025/04/22","9433","KDDI CORP.","12.0","Communications","Technology"
"2025/04/22","9434","SOFTBANK CORP.","10.0","Communications","Technology"
"2025/04/22","9501","TOKYO ELECTRIC POWER COMPANY HOLDINGS, I","0.1","Electric Power","Transportation and Utilities"
"2025/04/22","9502","CHUBU ELECTRIC POWER CO., INC.","0.1","Electric Power","Transportation and Utilities"
"2025/04/22","9503","THE KANSAI ELECTRIC POWER CO., INC.","0.1","Electric Power","Transportation and Utilities"
"2025/04/22","9531","TOKYO GAS CO., LTD.","0.2","Gas","Transportation and Utilities"
"2025/04/22","9532","OSAKA GAS CO., LTD.","0.2","Gas","Transportation and Utilities"
"2025/04/22","9602","TOHO CO., LTD","0.1","Services","Consumer Goods"
"2025/04/22","9613","NTT DATA GROUP CORP.","5.0","Communications","Technology"
"2025/04/22","9735","SECOM CO., LTD.","2.0","Services","Consumer Goods"
"2025/04/22","9766","KONAMI GROUP CORP.","1.0","Services","Consumer Goods"
"2025/04/22","9843","NITORI HOLDINGS CO., LTD.","0.5","Retail","Consumer Goods"
"2025/04/22","9983","FAST RETAILING CO., LTD.","2.4","Retail","Consumer Goods"
"2025/04/22","9984","SOFTBANK GROUP CORP.","6.0","Communications","Technology"
"This material is a copyrightable work of Nikkei. It is prohibited to copy, reproduce, reprint, or circulate all or part of this material in any form without NikkeiÅfs permission. ÅgDate of DataÅh is the date when the price adjustment factor for each components is used to calculate the index. For a constituent to which a capping ratio is applied, the price adjustment factor will be replaced by Ågcapped price adjustment factorÅh."
